['48.817920#2.544864#0', '48.803998#2.549684#0'] 19
['48.817920#2.544864#0', '48.803998#2.549684#1'] 13
['48.924880#2.449441#0', '48.933419#2.498087#0'] 12
['48.924880#2.449441#0', '48.917178#2.476528#0'] 12
['48.924880#2.449441#0', '48.933494#2.426388#0'] 18
['48.924880#2.449441#0', '48.914200#2.434987#1'] 15
['48.924880#2.449441#0', '48.914200#2.434987#0'] 17
['48.798323#2.264890#0', '48.784242#2.233033#0'] 13
['48.798323#2.264890#0', '48.782473#2.257900#0'] 29
['48.797187#2.399569#0', '48.790154#2.389585#0', '48.790154#2.389585#1'] 13
['48.797187#2.399569#0', '48.782058#2.398442#0', '48.782058#2.398442#1'] 16
['48.797187#2.399569#0', '48.806311#2.414529#1'] 12
['48.797187#2.399569#0', '48.811554#2.391267#0'] 21
['48.797187#2.399569#0', '48.762973#2.414539#0'] 12
['48.933419#2.498087#0', '48.933494#2.426388#0'] 12
['48.933419#2.498087#0', '48.945289#2.518306#0'] 17
['48.933419#2.498087#0', '48.945289#2.518306#1'] 13
['48.933419#2.498087#0', '48.923158#2.369625#0'] 12
['48.691485#2.361449#0', '48.672882#2.359563#0', '48.691485#2.361449#1', '48.672882#2.359563#1'] 12
['48.990760#2.286160#0', '48.979049#2.271983#0'] 20
['48.846503#2.453801#1', '48.849143#2.431710#1'] 17
['48.849143#2.431710#0', '48.846503#2.453801#1'] 17
['48.818154#2.262416#0', '48.814474#2.246852#0', '48.818154#2.262416#1'] 12
['48.980779#2.298456#0', '48.972447#2.312795#0'] 24
['48.980779#2.298456#0', '48.960864#2.292833#0'] 12
['48.762973#2.414539#1', '48.761916#2.401613#1'] 16
['48.761916#2.401613#0', '48.762973#2.414539#1'] 12
['48.762973#2.414539#1', '48.785903#2.446684#1'] 14
['48.764532#2.382985#1', '48.761916#2.401613#1'] 14
['48.761916#2.401613#0', '48.764532#2.382985#1'] 22
['48.816726#2.500681#0', '48.817773#2.475310#0'] 16
['48.806740#2.322037#0', '48.799893#2.312999#1'] 17
['48.789873#2.294063#0', '48.799893#2.312999#1'] 14
['48.799893#2.312999#1', '48.806740#2.322037#1'] 15
['48.819825#2.209377#0', '48.826525#2.230830#0'] 17
['48.838407#2.651012#0', '48.846235#2.645212#1', '48.838407#2.651012#1'] 16
['48.839220#2.474821#0', '48.825291#2.513902#0'] 15
['48.839220#2.474821#0', '48.846503#2.453801#0'] 14
['48.839220#2.474821#0', '48.853204#2.484699#1'] 14
['48.866692#2.477917#0', '48.886451#2.490017#0'] 19
['48.866692#2.477917#0', '48.853204#2.484699#0'] 20
