['48.866972#2.306380#1', '48.871198#2.303862#1'] 31
['48.866972#2.306380#1', '48.866648#2.327865#1'] 41
['48.866972#2.306380#1', '48.864499#2.296196#1'] 26
['48.866972#2.306380#1', '48.858221#2.294241#1'] 24
['48.866289#2.312551#0', '48.866972#2.306380#1'] 47
['48.866972#2.306380#1', '48.871809#2.332093#1'] 25
['48.864878#2.323431#0', '48.866972#2.306380#1'] 26
['48.866648#2.327865#0', '48.866972#2.306380#1'] 46
['48.871809#2.332093#0', '48.866972#2.306380#1'] 30
['48.866972#2.306380#1', '48.861963#2.335616#1'] 24
['48.866972#2.306380#1', '48.856729#2.351007#1'] 20
['48.861963#2.335616#0', '48.866972#2.306380#1'] 23
['48.867465#2.341485#0', '48.866243#2.346136#0'] 37
['48.867465#2.341485#0', '48.866383#2.336369#0'] 61
['48.867465#2.341485#0', '48.865121#2.331558#0'] 23
['48.867465#2.341485#0', '48.866289#2.312551#0'] 21
['48.867465#2.341485#0', '48.864878#2.323431#0'] 24
['48.867465#2.341485#0', '48.861963#2.335616#1'] 24
['48.867465#2.341485#0', '48.861963#2.335616#0'] 52
['48.857877#2.336292#1', '48.855393#2.343176#1'] 47
['48.857877#2.336292#1', '48.853269#2.332692#1'] 33
['48.857877#2.336292#1', '48.865121#2.331558#1'] 25
['48.857877#2.336292#1', '48.864878#2.323431#1'] 25
['48.857877#2.336292#1', '48.886342#2.342193#1'] 22
['48.857877#2.336292#1', '48.864499#2.296196#1'] 29
['48.857877#2.336292#1', '48.858221#2.294241#1'] 25
['48.853076#2.348191#0', '48.857877#2.336292#1'] 23
['48.864499#2.296196#0', '48.857877#2.336292#1'] 23
['48.857877#2.336292#1', '48.853076#2.348191#1', '48.861963#2.335616#1'] 40
['48.857877#2.336292#1', '48.853076#2.348191#1', '48.856729#2.351007#1'] 20
['48.857877#2.336292#1', '48.871809#2.332093#1'] 22
['48.864878#2.323431#0', '48.857877#2.336292#1'] 31
['48.866648#2.327865#0', '48.857877#2.336292#1'] 24
['48.871809#2.332093#0', '48.857877#2.336292#1'] 38
['48.857877#2.336292#1', '48.861963#2.335616#1', '48.856729#2.351007#1'] 23
['48.861963#2.335616#0', '48.857877#2.336292#1'] 47
['48.864097#2.361068#1', '48.857107#2.360988#1'] 37
['48.864097#2.361068#1', '48.861005#2.364760#1'] 41
['48.864097#2.361068#1', '48.858336#2.355931#1'] 27
['48.861005#2.364760#0', '48.864097#2.361068#1'] 32
['48.857107#2.360988#0', '48.864097#2.361068#1'] 24
['48.858336#2.355931#0', '48.864097#2.361068#1'] 31
['48.860468#2.351741#0', '48.864097#2.361068#1'] 24
['48.864097#2.361068#1', '48.860468#2.351741#1'] 21
['48.866289#2.312551#0', '48.864097#2.361068#1'] 27
['48.864499#2.296196#0', '48.864097#2.361068#1'] 20
['48.871809#2.332093#0', '48.864097#2.361068#1'] 27
