['41.389976#2.166449#0', '41.384923#2.171229#1'] 8
['41.389976#2.166449#0', '41.384923#2.171229#0'] 13
['41.389976#2.166449#0', '41.387859#2.169580#0'] 18
['41.380809#2.173534#0', '41.387859#2.169580#1'] 14
['41.393079#2.164209#0', '41.387859#2.169580#1'] 8
['41.387859#2.169580#1', '41.384923#2.171229#1'] 30
['41.384923#2.171229#0', '41.387859#2.169580#1'] 14
['41.380809#2.173534#0', '41.393079#2.164209#0'] 8
['41.380809#2.173534#0', '41.384923#2.171229#1'] 16
['41.380809#2.173534#0', '41.384923#2.171229#0'] 31
['41.380809#2.173534#0', '41.387859#2.169580#0'] 29
['41.393079#2.164209#0', '41.384923#2.171229#0'] 10
['41.393079#2.164209#0', '41.387859#2.169580#0'] 12
['41.387859#2.169580#0', '41.384923#2.171229#1'] 17
['41.384923#2.171229#0', '41.387859#2.169580#0'] 33
