['51.418739#-0.022139#0', '51.423314#0.012180#0'] 17
['51.401914#-0.070593#1', '51.383549#-0.086310#1'] 16
['51.401914#-0.070593#1', '51.373368#-0.099501#1'] 21
['51.409609#-0.151380#0', '51.379165#-0.164794#1'] 20
['51.409609#-0.151380#0', '51.409065#-0.177659#0'] 27
['51.382714#-0.293588#0', '51.409743#-0.302636#0'] 21
['51.403638#-0.093857#1', '51.383549#-0.086310#1'] 24
['51.598094#0.240671#1', '51.583691#0.217889#1'] 16
['51.598094#0.240671#1', '51.575607#0.180461#1'] 16
['51.614843#0.296966#0', '51.598094#0.240671#1'] 16
['51.598094#0.240671#1', '51.614843#0.296966#1'] 21
['51.454708#0.151991#0', '51.465888#0.132307#1'] 19
['51.541115#-0.005936#0', '51.560297#-0.011069#1'] 19
['51.425194#0.101538#0', '51.386413#0.106237#1'] 25
['51.508629#0.019398#0', '51.517495#0.032868#0'] 30
['51.508629#0.019398#0', '51.519947#0.015106#0'] 17
['51.508629#0.019398#0', '51.502648#0.003625#0'] 17
['51.508629#0.019398#0', '51.504307#-0.019343#0'] 16
['51.365381#-0.116100#0', '51.373368#-0.099501#1'] 21
['51.365381#-0.116100#0', '51.373368#-0.099501#0'] 39
['51.597986#-0.181765#0', '51.625086#-0.178636#1'] 17
['51.597986#-0.181765#0', '51.596638#-0.207427#0'] 22
['51.597986#-0.181765#0', '51.588590#-0.152288#0'] 17
['51.597986#-0.181765#0', '51.596638#-0.207427#1'] 19
['51.597986#-0.181765#0', '51.625086#-0.178636#0'] 26
['51.441872#-0.201711#0', '51.458360#-0.217742#0'] 22
['51.441872#-0.201711#0', '51.420295#-0.200431#1'] 22
['51.441872#-0.201711#0', '51.420295#-0.200431#0'] 40
['51.403787#0.021682#0', '51.423314#0.012180#1'] 19
['51.570622#0.114914#1', '51.562139#0.072332#1'] 24
['51.570622#0.114914#1', '51.575607#0.180461#1'] 18
['51.570622#0.114914#1', '51.541115#-0.005936#1'] 17
['51.421456#-0.080065#1', '51.432405#-0.100875#1'] 20
['51.432405#-0.100875#0', '51.421456#-0.080065#1'] 23
['51.614843#0.296966#0', '51.627097#0.329698#1'] 23
['51.627097#0.329698#1', '51.614843#0.296966#1'] 32
['51.654231#-0.269823#1', '51.612515#-0.248725#1'] 19
['51.596638#-0.207427#0', '51.654231#-0.269823#0', '51.654231#-0.269823#1', '51.596638#-0.207427#1'] 16
['51.403050#-0.248555#0', '51.414199#-0.222808#0'] 17
['51.403050#-0.248555#0', '51.420295#-0.200431#0'] 19
['51.432525#-0.165738#0', '51.422162#-0.160233#1'] 18
['51.431425#-0.122051#0', '51.426327#-0.137460#0'] 21
['51.431425#-0.122051#0', '51.432405#-0.100875#0'] 16
['51.465888#0.132307#0', '51.454708#0.151991#0'] 35
['51.454708#0.151991#0', '51.447170#0.127583#1'] 17
['51.447170#0.127583#1', '51.454708#0.151991#1'] 16
['51.447170#0.127583#1', '51.425194#0.101538#1'] 19
['51.506482#-0.338197#0', '51.510722#-0.323212#0', '51.506482#-0.338197#1'] 16
['51.506482#-0.338197#0', '51.506482#-0.338197#1', '51.510722#-0.323212#1'] 19
['51.506482#-0.338197#0', '51.512677#-0.303735#0'] 22
['51.506482#-0.338197#0', '51.494089#-0.306486#0'] 16
['51.517495#0.032868#0', '51.519947#0.015106#0', '51.519947#0.015106#1'] 22
['51.519947#0.015106#1', '51.535247#0.011843#1'] 21
['51.519947#0.015106#1', '51.541115#-0.005936#1'] 20
['51.573653#-0.296755#0', '51.580341#-0.321148#0'] 22
['51.573653#-0.296755#0', '51.561098#-0.277384#0'] 16
['51.446359#-0.131368#1', '51.431425#-0.122051#1'] 18
['51.446359#-0.131368#1', '51.444506#-0.149125#1'] 16
['51.570622#0.114914#0', '51.562139#0.072332#0'] 17
['51.565188#0.129929#1', '51.554259#0.033691#1'] 16
['51.565188#0.129929#1', '51.562139#0.072332#1'] 18
['51.565188#0.129929#1', '51.575607#0.180461#1'] 24
['51.420410#-0.312405#0', '51.431269#-0.332957#0'] 26
['51.420410#-0.312405#0', '51.409743#-0.302636#0'] 38
['51.552613#-0.160388#0', '51.557145#-0.143506#0'] 18
['51.552613#-0.160388#0', '51.546408#-0.181063#0'] 20
['51.468886#-0.273893#0', '51.469589#-0.251990#0', '51.468886#-0.273893#1'] 20
['51.468886#-0.273893#1', '51.461219#-0.298652#1'] 18
['51.461219#-0.298652#0', '51.468886#-0.273893#1'] 20
['51.597986#-0.181765#1', '51.625086#-0.178636#1'] 16
['51.597986#-0.181765#1', '51.596638#-0.207427#1'] 16
['51.625086#-0.178636#0', '51.597986#-0.181765#1'] 21
['51.486001#0.080646#0', '51.497508#0.071967#0', '51.486001#0.080646#1'] 24
['51.486001#0.080646#0', '51.497508#0.071967#1'] 16
['51.649373#-0.198421#0', '51.625086#-0.178636#1'] 16
['51.649373#-0.198421#0', '51.651482#-0.172301#0'] 16
['51.649373#-0.198421#0', '51.625086#-0.178636#0'] 25
['51.649373#-0.198421#0', '51.651482#-0.172301#1'] 18
['51.537767#-0.283660#0', '51.549390#-0.301891#0'] 23
['51.537767#-0.283660#0', '51.539907#-0.252646#0'] 19
['51.646638#-0.046129#1', '51.625166#-0.056348#1'] 18
['51.583691#0.217889#0', '51.572324#0.192633#0'] 16
['51.583691#0.217889#0', '51.575607#0.180461#0'] 18
['51.549390#-0.301891#0', '51.556513#-0.283940#0'] 26
['51.480043#0.066999#0', '51.497508#0.071967#0'] 16
['51.480043#0.066999#0', '51.459301#0.054527#0'] 20
['51.510722#-0.323212#0', '51.506482#-0.338197#1', '51.510722#-0.323212#1'] 18
['51.512677#-0.303735#0', '51.506482#-0.338197#1'] 16
['51.456082#-0.194837#1', '51.467090#-0.183976#1'] 16
['51.456082#-0.194837#1', '51.463987#-0.166682#1'] 16
['51.598094#0.240671#0', '51.627097#0.329698#0'] 18
['51.598094#0.240671#0', '51.614843#0.296966#0'] 24
['51.598094#0.240671#0', '51.541115#-0.005936#0'] 18
['51.421456#-0.080065#0', '51.432405#-0.100875#0'] 19
['51.390913#-0.108176#0', '51.403638#-0.093857#0'] 21
['51.390913#-0.108176#0', '51.383549#-0.086310#0', '51.390913#-0.108176#1'] 18
['51.390913#-0.108176#0', '51.373368#-0.099501#0'] 26
['51.583691#0.217889#1', '51.572324#0.192633#1'] 18
['51.572324#0.192633#0', '51.583691#0.217889#1'] 16
['51.583691#0.217889#1', '51.575607#0.180461#1'] 26
['51.614843#0.296966#0', '51.583691#0.217889#1'] 21
['51.583691#0.217889#1', '51.614843#0.296966#1'] 17
['51.461713#0.006704#1', '51.464008#-0.010588#1'] 21
['51.451346#0.025141#0', '51.461713#0.006704#0'] 18
['51.451346#0.025141#0', '51.459301#0.054527#0'] 17
['51.451346#0.025141#0', '51.464008#-0.010588#0'] 16
['51.568061#-0.199825#0', '51.596638#-0.207427#0'] 19
['51.568061#-0.199825#0', '51.585179#-0.229596#0'] 38
['51.568061#-0.199825#0', '51.546408#-0.181063#0'] 16
['51.569075#0.009403#0', '51.560297#-0.011069#0'] 22
['51.569075#0.009403#0', '51.594087#0.025896#0'] 27
['51.569075#0.009403#0', '51.577715#-0.015065#0'] 17
['51.569075#0.009403#0', '51.554259#0.033691#0'] 21
['51.600774#-0.109308#0', '51.587446#-0.099510#0'] 18
['51.600774#-0.109308#0', '51.532871#-0.101189#0'] 20
['51.448988#-0.022013#1', '51.442098#-0.038183#1'] 27
['51.442098#-0.038183#0', '51.448988#-0.022013#1'] 17
['51.448988#-0.022013#1', '51.464008#-0.010588#1'] 19
['51.464008#-0.010588#0', '51.448988#-0.022013#1'] 16
['51.486001#0.080646#1', '51.497508#0.071967#1'] 22
['51.572324#0.192633#0', '51.575607#0.180461#0', '51.572324#0.192633#1'] 17
['51.572324#0.192633#1', '51.575607#0.180461#1'] 22
['51.539907#-0.252646#1', '51.535820#-0.228977#1'] 30
['51.627097#0.329698#0', '51.614843#0.296966#0'] 36
['51.627097#0.329698#0', '51.614843#0.296966#1'] 22
['51.565081#0.167672#0', '51.535653#0.172320#1'] 17
['51.423314#0.012180#0', '51.403787#0.021682#0'] 20
['51.443991#-0.185118#0', '51.420295#-0.200431#0'] 28
['51.443991#-0.185118#0', '51.463987#-0.166682#0'] 31
['51.443991#-0.185118#0', '51.503542#-0.114402#0'] 18
['51.612515#-0.248725#0', '51.596638#-0.207427#0'] 22
['51.612515#-0.248725#0', '51.596638#-0.207427#1'] 17
['51.612515#-0.248725#0', '51.625086#-0.178636#0'] 16
['51.612515#-0.248725#0', '51.654231#-0.269823#0'] 20
['51.547613#-0.040287#1', '51.545534#-0.053816#1'] 25
['51.596638#-0.207427#0', '51.612515#-0.248725#1'] 19
['51.612515#-0.248725#1', '51.596638#-0.207427#1'] 18
['51.612515#-0.248725#1', '51.593554#-0.244315#1'] 16
['51.654231#-0.269823#0', '51.612515#-0.248725#1'] 18
['51.535449#0.051251#0', '51.543513#0.066247#0'] 24
['51.535449#0.051251#0', '51.543513#0.066247#1'] 18
['51.535449#0.051251#0', '51.535247#0.011843#0'] 20
['51.508527#-0.246718#0', '51.514357#-0.261520#1'] 20
['51.508527#-0.246718#0', '51.514357#-0.261520#0'] 35
['51.508527#-0.246718#0', '51.511411#-0.230605#0'] 39
['51.508527#-0.246718#0', '51.499232#-0.222254#0'] 22
['51.454708#0.151991#0', '51.484120#0.151783#1'] 17
['51.484120#0.151783#0', '51.454708#0.151991#0'] 19
['51.535449#0.051251#1', '51.538487#0.034184#1'] 23
['51.535449#0.051251#1', '51.543513#0.066247#1'] 19
['51.414844#-0.052745#0', '51.430328#-0.056418#0'] 24
['51.557145#-0.143506#1', '51.566983#-0.130166#1'] 24
